id,text,a0,a1,a2,a3
0,liga o rádio na rfm,pt,,,
1,takvimimde annemle olan akşam yemeğini bul ve onu sil,tr,,,
2,eu tenho alguma hora livre para uma consulta médica na quinta feira de manhã,pt,,,
3,não quero receber mais chamadas depois das cinco da tarde,pt,,,
4,habe ich zeit für einen arzttermin am dienstag früh zur verfügung,de,,,
5,turn on plug,en,,,
6,nilai saham facebook,id,,,
7,toque o próximo programa de rádio da r. t. p.,pt,,,
8,quero adicionar o meu endereço de email,pt,,,
9,asseblief verwyder die alarm wat ek gestel het vir vanoggend,af,,,
10,påminn mig om att träffa sara på lidl i borås klockan tolv,sv,,,
11,definir o fuso horário para g. m. t.,pt,,,
12,remove twenty fourth march meeting from schedule,en,,,
13,högre tack,sv,,,
14,ich möchte und meine email adresse,de,,,
15,asyanın kilometre başına nüfusu kaçtır,tr,,,
16,qual é o valor das ações da i. b. m.,pt,,,
17,había algún correo electrónico en relación a la reserva equivocada en sia,es,,,
18,wie aktiviert man den saugroboter,de,,,
19,cuál es el tipo de cambio actual entre el dólar y el euro,es,,,
20,har universitetet i lund mejlat mig,nl,,,
21,what is my list,en,,,
22,schalte das radio auf achtundneunzig punkt sieben ein,de,,,
23,dink jy vandag gaan lekker wees buite,af,,,
24,die datum vandag asseblief,af,,,
25,suriin ang aking gagawin na listahan,tl,,,
26,plan een vergadering op dinsdag,nl,,,
27,berapa populasi per mil di asia,id,,,
28,vilken färg har en basketboll,sv,,,
29,did i receive emails from this person,en,,,
30,tolong ingatkan aku untuk jam sebelum rapat kerja saya berikutnya,id,,,
31,i want to hear music by a band from my playlist,en,,,
32,mais alto por favor,pt,,,
33,vertel me wie de artiest van dit nummer is,nl,,,
34,envié un correo electrónico a claudio la semana pasada por favor acuérdame que es lo que escribí,es,,,
35,olly brad pitt hakkındaki herhangi bir yeni haber,tr,,,
36,regnar det just nu,sv,,,
37,libertar a minha agenda para a próxima semana,pt,,,
38,sintonizza la radio su novantotto punto sette,it,,,
39,uyumak istiyorum,tr,,,
40,gusto kong matulog,tl,,,
41,ik wil muziek horen van een band van mijn afspeellijst,nl,,,
42,anong mga pangyayari ang nangyayari sa pagitan ng dalawa at apat n. h. ngayon,tl,,,
43,skruva ner ljuset i vardagsrummet,sv,,,
44,hoe gaan die weer hierdie week wees,af,,,
45,mainkan lagu coklat karma untuk saya,id,,,
46,bugün dışarıda hava güzel olacak mı sence,tr,,,
47,apa album rap yang bagus yang keluar tahun ini,id,,,
48,o que é a taxa de câmbio do dólar americano para o dólar canadiano,pt,,,
49,tl karşısında abd doları nın döviz takas oranı nedir,tr,,,
50,vidarebefordra det visade innehållet till jens jansson snabel a. gmail punkt kom med mejl,sv,,,
51,vind het diner met mama in mijn kalender en verwijder het,nl,,,
52,olly enig nieuws over brad pitt,nl,,,
53,siri trova biglietti del treno per roma,it,,,
54,está a chover agora,pt,,,
55,ordinami un cheese burger da america graffiti,it,,,
56,erinnere mich eine stunde vor meinem nächsten arbeitstreffen,de,,,
57,dependiendo del rol al que vayas esto afectará tu respuesta,es,,,
58,olly any fresh news on brad pitt,en,,,
59,ihre scenarios auf ihrem p. c. und transferiere diese zurück über den heißen,de,,,
60,vertel me een willekeurige trivia,nl,,,
61,wie macht man steak,de,,,
62,vad är ungersk forint värd jämfört med en amerikansk dollar,sv,,,
63,de quelle couleur est un ballon de basket,fr,,,
64,ini terlalu kencang tolong turunkan volume,id,,,
65,provide me with the list of great restaurants in a,en,,,
66,använd det här ordet i en mening,sv,,,
67,can you tell me what alarms i have set,en,,,
68,i want to sleep,en,,,
69,ek wil musiek hoor van 'n orkes van my speel lys,af,,,
70,adakah pusat perbelanjaan di dekat sini,id,,,
71,was ist der derzeitige wechselkurs zwischen dollar und euro,de,,,
72,please remove the alarm which i set for today morning,en,,,
73,supprimer la liste de personne à partir du support lettre dans ma liste de contact,fr,,,
74,vad är telias aktievärde,sv,,,
75,voglio dormire,it,,,
76,come sarà il tempo questa settimana,it,,,
77,dimana alamat rumah joko,id,,,
78,mainit na pagbati kay mac para sa bagong trabaho,tl,,,
79,sätt en arbetsplatsmöte påminnelse för de nästkommande tre dagarna,sv,,,
80,como cozinho bife,pt,,,
81,recibí correos electrónicos de esta persona,es,,,
82,vérifie ma liste de choses à faire,fr,,,
83,réduis le son s'il te plaît,fr,,,
84,speel de podcast over de nieuwste yoga videos,nl,,,
85,per favore invia un tweet al famila per non avere un bagno pulito,it,,,
86,ano ang pinakabago sa pagbabawal sa paglalakbay ni duterte,tl,,,
87,gösterilen içeriği e-posta ile blahblah at blah nokta com adresine iletin,tr,,,
88,spiel ein turnier mit mir im candy crush,de,,,
89,en son epostalarımı görmeme izin ver,tr,,,
90,verwyder die lys van persoon begin vanaf letter medium in my kontak lys,af,,,
91,o leão da estrela,pt,,,
92,yeni işi için emreye iyi şanslar,tr,,,
93,alsjeblief verwijderd de wekker dat ik vandaag in de ochtend heb ingesteld,nl,,,
94,i tuoi scenari sul computer e trasferiscili tramite il caldo,it,,,
95,pon el noventa y ocho punto siete en la radio,es,,,
96,wann ist mein zahnarzttermin am montag,de,,,
97,berapa harga saham axioo,id,,,
98,ich möchte nach fünf uhr nachmittags keine anrufe mehr entgegennehmen,de,,,
99,starta dammsugaren noll nio noll noll,sv,,,
100,şu anda yağmur yağıyor mu,tr,,,
101,há centros comerciais aqui perto,pt,,,
102,wat is n kalone werd in vergelyking met n v. s. dollar,af,,,
103,apagar o alarme que eu defini para hoje de manhã,pt,,,
