id,text,a0,a1,a2,a3
4800,encontra sítios para comer perto de casa,,,,
4801,bugün nike hisse senedi fiyatı nedir,,,,
4802,quais são as manchetes do jornal do bob,,,,
4803,põe a playlist de eletrónica,,,,
4804,was sind die schlagzeilen von tag bei n. t. v.,,,,
4805,play sholay,,,,
4806,tolong mainkan lagu aku jatuh cinta dari basejam,,,,
4807,olá olly que horas são,,,,
4808,muda as definições de volume para negativo,,,,
4809,laat my weet wanneer n volgende gebeurtenis plaasvind op my kalender en stuur vir my n kennisgewing,,,,
4810,starta robotdammsugaren,,,,
4811,que horas são relativamente a nova iorque,,,,
4812,play kids songs,,,,
4813,spela alla låtar med totta näslund,,,,
4814,verringere die lautstärke,,,,
4815,hiç yeni bir e-posta olup olmadığını kontrol et,,,,
4816,alexa faz café,,,,
4817,significado del nombre,,,,
4818,wechselkurs zwischen pfund sterling und u. s. dollar,,,,
4819,léeme el mes de mi calendario,,,,
4820,vad är trafiksituationen just nu på sveavägen,,,,
4821,alexa play my most recent playlist,,,,
4822,finde orte zum essen in der nähe von meinem haus,,,,
4823,hoe is aandele vir google,,,,
4824,sit af die wekker,,,,
4825,kailangan ko ng recipe ng hita ng manok para sa pressure cooker ko,,,,
4826,olly moet ik vandaag een jas meenemen,,,,
4827,periksa apakah ada suatu surat elektronik baru,,,,
4828,jag vill börja mitt mejl såhär,,,,
4829,what is happening in milwaukee today,,,,
4830,buat acara natal pada tanggal dua puluh lima desember dua ribu tujuh belas dan atur ke pengingat secara berulang,,,,
4831,what day is easter,,,,
4832,toca todas as músicas da raquel tavares,,,,
4833,de tijd in new york nu,,,,
4834,cual es el maraton mas valorado para participar en los proximos seis meses,,,,
4835,bu yakınlarda kim adrese teslim yapıyor,,,,
4836,vem är det som sjunger denna låten,,,,
4837,quantos quilómetros eu andei hoje,,,,
4838,trova posti dove mangiare vicino a casa,,,,
4839,ilk birinciden başlayarak podcastlerde listelenmiş favorileri çal,,,,
4840,unang i-play ang kanin konvos sa energy f. m. one oh six point seven o ninety point seven,,,,
4841,weke dag is het pasen,,,,
4842,nag log-in ba si derek sa facebook ngayon,,,,
4843,vilket datum är det imorgon,,,,
4844,gaan die son skyn in durban hierdie naweek,,,,
4845,beri saya kabar terbaru tentang lalu lintas di jakarta,,,,
4846,google hisse fiyatları nasıl,,,,
4847,tampilkan setelan volume,,,,
4848,o david carreira é casado,,,,
4849,mehmet günsür evli mi,,,,
4850,börja boat battles,,,,
4851,wat is de aandelenkoers van nike vandaag,,,,
4852,wie levert er hier in de buurt,,,,
4853,canzone poker face,,,,
4854,quem é o cantor desta música,,,,
4855,fissa un appuntamento per pranzo con sara martedì a mezzogiorno all' old wild west,,,,
4856,erstelle einen weihnachtstermin am fünfundzwanzigsten dezember als wiederholenden termin,,,,
4857,el restaurante envía a domicilio,,,,
4858,who delivers near here,,,,
4859,habe ich innerhalb der letzten fünf stunden irgendwelche emails bekommen,,,,
4860,zet een alarm voor vier uur vanmiddag,,,,
4861,hallo hier ist jonas ich würde gerne wissen welches gericht heute auf dem speiseplan steht,,,,
4862,ge mig nyheterna på s. v. t.,,,,
4863,je veux commencer mon email comme ceci,,,,
4864,apakah akan hujan malam ini,,,,
4865,expenses,,,,
4866,hej vad är klockan i orlando florida,,,,
4867,do i have any meetings on friday's afternoon,,,,
4868,play favorites listed in podcasts starting with first one,,,,
4869,watter dag is paasfees,,,,
4870,bagaimana cuaca minggu ini,,,,
4871,lese meinen kalender für den monat vor,,,,
4872,let me know when a next event if occurring from my calendar and send me a notification,,,,
4873,je n'aime pas cette chanson,,,,
4874,olly brygg kaffe,,,,
4875,riproduci i preferiti elencati fra i podcast iniziando dal primo,,,,
4876,il sole splenderà nel torinese questo fine settimana,,,,
4877,coba melucu,,,,
4878,pwedeng dagdagan ng gatas ang listahan ng aking groseri,,,,
4879,jag behöver veta vad klockan är just nu i new york,,,,
4880,olá daqui fala o joão gostaria de saber qual é o prato do dia de hoje,,,,
4881,que esta pasando en milwaukee hoy,,,,
4882,j'ai besoin d'une recette de cuisses de poulet pour mon autocuiseur,,,,
4883,il pleut,,,,
4884,e-mail naar jan met betrekking tot het laatste nieuws,,,,
4885,imposta un promemoria per la festa in ufficio di sabato prossimo,,,,
4886,magtakda ng paalala para sa pagpupulong ko ngayon,,,,
4887,bejeweled başlat,,,,
4888,ich möchte etwas kaffee,,,,
4889,benim için aydın a en ucuz tren biletini ayarla,,,,
4890,ek hou nie van hierdie liedjie nie,,,,
4891,tenho uma reunião importante neste domingo às duas da tarde não se esqueça de me lembrar,,,,
4892,market listeme süt ekler misin,,,,
4893,laat me weten wanneer er een volgende evenement is van mijn kalender en stuur me een notificatie,,,,
4894,mi è arrivata qualche email nelle ultime cinque ore,,,,
4895,buscar lugares para comer cerca de mi casa,,,,
4896,wann ist mein wecker für morgen früh,,,,
4897,olly seduh kopi,,,,
4898,spiel die electronic playlist,,,,
4899,ställ in påminnelse för tennismatch med peter på söndag klockan fyra på eftermiddagen,,,,
4900,bu şarkının şarkıcısı kim,,,,
4901,qual é o tempo esta semana,,,,
4902,gee vir my die nuus vanaf netwerk vier en twintig,,,,
4903,informa-me do próximo evento no meu calendário e envia uma notificação,,,,
4904,berapa harga saham eiger hari ini,,,,
4905,can you add milk to my grocery list,,,,
4906,ik wil mijn e-mail starten zoals deze,,,,
4907,pendeteksi lagu,,,,
4908,jouer ma playlist d'entraînement sur spotify,,,,
4909,publier mon entreprise sur tous mes sites de médias sociaux,,,,
4910,hoe zijn aandelen voor google,,,,
4911,libangan ng pamilya,,,,
4912,familievermaak,,,,
4913,wie is nu de zanger van dit nummer,,,,
4914,yarın günlerden ne,,,,
4915,qual è la email inviata da questo contatto,,,,
4916,email to pawel regarding latest news,,,,
4917,pouvez-vous ajouter du lait à ma liste d' épicerie,,,,
4918,speelt mijn workout muziek in spotify,,,,
4919,biraz şaka yap,,,,
4920,ho degli incontri venerdì pomeriggio,,,,
4921,envía un correo a juan con relación a las noticias más recientes,,,,
4922,olly lösche mein geschäftstreffen am mittwoch,,,,
