id,text,a0,a1,a2,a3
0,liga o rádio na rfm,pt,,,pt
1,takvimimde annemle olan akşam yemeğini bul ve onu sil,tr,,,tr
2,eu tenho alguma hora livre para uma consulta médica na quinta feira de manhã,pt,,,pt
3,não quero receber mais chamadas depois das cinco da tarde,pt,,,pt
4,habe ich zeit für einen arzttermin am dienstag früh zur verfügung,de,,,de
5,turn on plug,en,,,en
6,nilai saham facebook,id,,,id
7,toque o próximo programa de rádio da r. t. p.,pt,,,pt
8,quero adicionar o meu endereço de email,pt,,,pt
9,asseblief verwyder die alarm wat ek gestel het vir vanoggend,af,,,af
10,påminn mig om att träffa sara på lidl i borås klockan tolv,sv,,,sv
11,definir o fuso horário para g. m. t.,pt,,,pt
12,remove twenty fourth march meeting from schedule,en,,,en
13,högre tack,sv,,,sv
14,ich möchte und meine email adresse,de,,,de
15,asyanın kilometre başına nüfusu kaçtır,tr,,,tr
16,qual é o valor das ações da i. b. m.,pt,,,pt
17,había algún correo electrónico en relación a la reserva equivocada en sia,es,,,es
18,wie aktiviert man den saugroboter,de,,,de
19,cuál es el tipo de cambio actual entre el dólar y el euro,es,,,es
20,har universitetet i lund mejlat mig,nl,,,sv
21,what is my list,en,,,en
22,schalte das radio auf achtundneunzig punkt sieben ein,de,,,de
23,dink jy vandag gaan lekker wees buite,af,,,af
24,die datum vandag asseblief,af,,,af
25,suriin ang aking gagawin na listahan,tl,,,tl
26,plan een vergadering op dinsdag,nl,,,nl
27,berapa populasi per mil di asia,id,,,id
28,vilken färg har en basketboll,sv,,,sv
29,did i receive emails from this person,en,,,en
30,tolong ingatkan aku untuk jam sebelum rapat kerja saya berikutnya,id,,,id
31,i want to hear music by a band from my playlist,en,,,en
32,mais alto por favor,pt,,,pt
33,vertel me wie de artiest van dit nummer is,nl,,,nl
34,envié un correo electrónico a claudio la semana pasada por favor acuérdame que es lo que escribí,es,,,es
35,olly brad pitt hakkındaki herhangi bir yeni haber,tr,,,tr
36,regnar det just nu,sv,,,sv
37,libertar a minha agenda para a próxima semana,pt,,,pt
38,sintonizza la radio su novantotto punto sette,it,,,it
39,uyumak istiyorum,tr,,,tr
40,gusto kong matulog,tl,,,tl
41,ik wil muziek horen van een band van mijn afspeellijst,nl,,,nl
42,anong mga pangyayari ang nangyayari sa pagitan ng dalawa at apat n. h. ngayon,tl,,,tl
43,skruva ner ljuset i vardagsrummet,sv,,,sv
44,hoe gaan die weer hierdie week wees,af,,,af
45,mainkan lagu coklat karma untuk saya,id,,,id
46,bugün dışarıda hava güzel olacak mı sence,tr,,,tr
47,apa album rap yang bagus yang keluar tahun ini,id,,,id
48,o que é a taxa de câmbio do dólar americano para o dólar canadiano,pt,,,pt
