id,label,label_text,text,lang
1847,takeaway,takeaway,bestel vir my 'n kaas burger van big als,af
876,play,play,speel spoegwolf lenie blou,af
14494,qa,qa,wat is ek netgen se voorraad werd,af
14366,qa,qa,sal dit goed wees om vandag nike aandele te koop,af
1977,alarm,alarm,asseblief verwyder die alarm wat ek gestel het vir vanoggend,af
16347,email,email,stuur my skoonma 'n boodskap om die besprekings te bevestig voor vrydag anders gaan dit verval,af
3125,news,news,wat is die nuutste op trump se reis verbod,af
16860,email,email,ek het vir koos 'n week gelede 'n e-pos gestuur herinner my wat het ek geskryf,af
4740,iot,iot,draai af die ligte in die sitkamer,af
7510,calendar,calendar,verwyder gebeurtenis,af
13570,qa,qa,wat beteken grap,af
10556,lists,lists,wat is my lys,af
3597,iot,iot,ek will slaap,af
16604,email,email,stuur e-pos aan dogter,af
15770,email,email,het die universiteit van stellenbosch my al 'n e-pos gestuur,af
7212,calendar,calendar,herinner my 'n uur voor my volgende werks vergadering,af
3858,weather,weather,gaan daar enige sneeu wees dinsdag,af
11297,play,play,speel 'n podcast oor die nuutste joga videos,af
520,datetime,datetime,wat is die tyd nou,af
13006,general,general,hoe dink jy lyk ek,af
13170,qa,qa,wat is bevolking per myl in alaska,af
13314,qa,qa,afhangend van die rol waarvoor jy hier gaan sal jou antwoord beïnvloed,af
2944,iot,iot,alexa skakel die lamp in die sitkamer af,af
16910,email,email,ek wil en my e-pos adres,af
10727,lists,lists,watter lys het ek,af
12820,transport,transport,wys verkeer,af
6309,general,general,ek wil nie meer oproepe na vyf n. m. neem nie,af
11836,recommendation,recommendation,is daar enige inkopiesentrums naby,af
5885,iot,iot,verhoog lig intensiteit,af
8008,calendar,calendar,hoe laat is my tandarts afspraak maandag,af
10504,lists,lists,watter lyste het ek,af
9021,calendar,calendar,stel n kantoor vergadering herinnering vir die volgende drie dae,af
6149,play,play,ek wil musiek hoor van 'n orkes van my speel lys,af
7764,calendar,calendar,skrap asseblief my kalender van alle gebeurtenisse,af
5547,general,general,hartlike wense aan mark vir die nuwe werk,af
6374,music,music,wat is 'n goeie amapiano album in hierdie jaar,af
1067,iot,iot,hoe aktiveer jy die robot stofsuier,af
6318,general,general,dink jy vandag gaan lekker wees buite,af
4468,alarm,alarm,stel my alarm uit met vyftien minute,af
9223,play,play,draai radio na agt-en-negentig punt sewe,af
8252,alarm,alarm,stel 'n tydhouer vir vyfuur v. m. sewe dae 'n week,af
7146,calendar,calendar,soek aandete met ma in my kalender en skrap dit,af
2707,audio,audio,harder asseblief,af
14839,qa,qa,wat is die wisselkoers van rand aan cdn,af
15859,email,email,stuur aan gewysde inhoud na blahblah at blah dot com,af
5616,datetime,datetime,stel die tydsone na g. m. t.,af
16152,email,email,enige nuwe e-pos vanaf jack,af
