id,text,a0,a1,a2,a3
1200,começa a aspirar agora por favor,pt,pt,,
1201,şehirde parti malzemeleri alınabilecek en iyi yer neresi,tr,tr,,
1202,que horas são no relógio,pt,pt,,
1203,qual é o nome do artista que criou esta música,pt,pt,,
1204,wie spät ist es,de,de,,
1205,how big is the stashable cinch bag and what does it look like,en,en,,
1206,tampilkan pengingat pengingat,id,id,,
1207,avisa me quando houver alguma nova notícia sobre o brexit,pt,pt,,
1208,adiciona passagem de ano ao calendário,pt,pt,,
1209,hoeveel is een dollar in euros,nl,nl,,
1210,spela sång vill ha dig i min spellista,sv,sv,,
1211,mostre-me notícias recentes sobre assunto particular,pt,pt,,
1212,who was john dillinger,en,en,,
1213,hur går det för compaq aktien,sv,sv,,
1214,füge neujahres abend zum kalender hinzu,de,de,,
1215,lütfen bu listeyi sil,tr,tr,,
1216,iniciar rádio,pt,es,,
1217,taxi ahora,es,es,,
1218,wie ist die zeit in münchen,de,de,,
1219,las reuniones disponibles en marzo son las que,es,es,,
1220,vad är det för datum nästa lördag,es,sv,,
1221,log a complaint to l. g. a. c. to customer service,en,en,,
1222,beginne jetzt bitte das staubsaugen,de,de,,
1223,speel asseblief vir my 'n liedjie van my gunsteling lys,af,af,,
1224,voeg john at gmail dot com by kontakte,en,en,,
1225,ano ang aking iskedyul bukas ng umaga,tl,tl,,
1226,hoeveel toetsen heeft een piano,nl,nl,,
1227,tolong hapus ini dari daftar,id,id,,
1228,hur är det nuvarande vädret i stockholm stad,sv,sv,,
1229,before this event set notification,en,en,,
1230,apakah ada apapun berita baru tentang lingkungan,id,id,,
1231,what are the latest updates with regard to trump's ties to russia,en,en,,
1232,como estão as ações da compaq,pt,pt,,
1233,robot stofzuiger aan,nl,nl,,
1234,quien es barack obama,es,es,,
1235,hangi listeleri kaydettim,tr,tr,,
1236,olly rekommendera ett evenemang som händer i mitt område,sv,sv,,
1237,fala-me sobre as minhas listas,pt,pt,,
1238,inizia a passare l'aspirapolvere per favore,it,it,,
1239,ünlülerin dedikoduları hakkında konu istiyorum,tr,tr,,
1240,gusto ko ng mga paksa sa tsismis sa artista,tl,tl,,
1241,wat zijn de laatste updates met betrekking tot trump's banden met rusland,nl,nl,,
1242,gumuhit ng mga petabit,tl,tl,,
1243,spela senaste låtarna av carola,sv,sv,,
1244,beplan vir my 'n vakansie reis,af,af,,
1245,jarak tempuh mobil b. m. w.,id,id,,
1246,benim favori listemden bir parça çal lütfen,tr,tr,,
1247,apakah kondisi cuaca untuk rabu berubah,id,id,,
1248,o trânsito para o trabalho está desimpedido,pt,pt,,
1249,iş yerine trafik açık mı,tr,tr,,
1250,kom ihåg att jag måste lämna in min matteuppgift ikväll senast elva,,sv,,
1251,wat is de beste plaats in de stad om feestbenodigdheden te kopen,,nl,,
1252,welke lijsten heb ik opgeslagen,,nl,,
1253,che tempo fa a firenze,,it,,
1254,olly recomenda-me um evento que esteja para acontecer na minha zona,,pt,,
1255,trova informazioni sul presidente sergio mattarella,,it,,
1256,gibt es irgendwelche nachrichten zur umwelt,,de,,
1257,recuérdame cuando alcance,,es,,
1258,what lists do i have saved,,en,,
1259,twittere meine beschwerde an den kundenservice,,de,,
1260,speel die podcast alsjeblieft,,nl,,
1261,alexa sag mir welcher der größte ozean der welt ist,,de,,
1262,kom ihåg att ringa barnvakten för dejtkväll på fredag,,sv,,
1263,quel est la météo actuelle à paris,,fr,,
1264,pesankan saya tiket kereta dengan kursi menghadap ke depan tujuan malang untuk pekan depan,,id,,
1265,tweet consumer service that the quantity is wrong,,en,,
1266,berätta namnet på den där låten för mig,,de,,
1267,did you receive this person email,,en,,
1268,i want topics on celebrity gossip,,en,,
1269,wat is die nuutste opdatering oor malema se bande met zimbabwe,,af,,
1270,hapus daftar ini,,id,,
1271,tagungen im märz,,de,,
1272,how much is one dollar in euros,,en,,
1273,commencer une nouvelle liste de numéros de loterie,,fr,,
1274,börja spela radio,,sv,,
1275,voglio gossip sulle celebrità,,it,,
1276,pianificami una vacanza,,it,,
1277,tampilkan surat elektronik terbaru dari elang,,id,,
1278,ano ang email address ni silvia,,id,,
1279,berätta vem som skrev den här låten,,sv,,
1280,alexa diz me qual é o maior oceano do mundo,,pt,,
1281,antes de este evento programa una notificación,,pt,,
1282,quel est mon programme pour demain matin,,fr,,
1283,est-ce que le restaurant propose la livraison à domicile,,fr,,
1284,vandaag heb ik beloningen gekregen,,nl,,
1285,quali negozi sono vicino a me,,it,,
1286,olly ipakita sakin ang paraan ng paghahanda ng sorbetes,,tl,,
1287,bu gece saat on bir itibariyle matematik ödevimi teslim etmem gerektiğini hatırlat,,tr,,
1288,die lied spielen wird nun freigegeben von welcher künstler,,de,,
1289,artık yıl iki bin on sekiz yılı mıdır,,tr,,
1290,begin nuwe lys van lotery nommers,,af,,
1291,por favor toca o prometido é devido de rui veloso,,es,,
1292,güldenin eposta adresi nedir,,tr,,
1293,hoeveel is een dollar in euro's,,nl,,
1294,twitta il mio reclamo e menziona questo servizio clienti,,it,,
1295,empieza a aspirar ahora por favor,,es,,
1296,checke meine emails,,de,,
1297,mulai pemutaran radio,,id,,
1298,wer hat den song geschrieben,,de,,
1299,det är mörkt,,sv,,
1300,olly benim bölgemde gerçekleşen etkinlik tavsiye et,,tr,,
1301,limpar esta lista,,pt,,
1302,maak seker om baba oppasser te bel vir uitgaan aand vrydag,,af,,
1303,quanto é um dólar em euro,,pt,,
1304,di mana tempat terbaik di kota untuk membeli perlengkapan pesta,,id,,
1305,what's the email address of silvia,,en,,
1306,wat is het huidig weer in de stad utrecht,,nl,,
1307,bagaimana cuaca di minahasa,,id,,
1308,programme à nrj,,fr,,
1309,répondre à john en disant que j'assisterai à la fête,,fr,,
1310,speel alsjeblieft een liedje van mijn favoriete lijst,,nl,,
1311,pwede mo bang ilagay sa musika,,tl,,
1312,kan je alsjeblieft muziek opzetten,,nl,,
1313,olly een evenement in mijn omgeving aanbevelen,,nl,,
1314,internet ten benim için en yeni şarkılar ı çal,,tr,,
1315,prenotami un biglietto del treno per il prossimo viaggio a taranto,,it,,
1316,today i got rewards,,en,,
1317,quelle est l'adresse e-mail de silvia,,fr,,
1318,programma y. op radio b. b. c.,,nl,,
1319,bana cemin en son epostasını göster,,tr,,
1320,hai ricevuto email da questa persona,,it,,
1321,hoy tengo recompensas,,es,,
1322,wie viele wecker sind aktuell eingestellt,,de,,
1323,make sure to call the babysitter for date night on friday,,en,,
1324,saat kaçı gösteriyor,,tr,,
1325,was ist mein meistgespieltes lied,,de,,
1326,cosa c'è nella mia agenda domani mattina,,it,,
1327,saya ingin mendengar lagu itu,,id,,
1328,tandaan na kailangan kong ipasa ang aking takdang aralin sa math ngayong gabi ng alas-onse,,tl,,
1329,lembra-me de ir à aula de hóquei todos os domingos à tarde,,pt,,
1330,c'è qualche spettacolo che posso vedere stasera in città,,it,,
1331,lägg till john snabela gmail punkt kom till mina kontakter,,sv,,
1332,spela framåt ett avsnitt av dumma människor,,sv,,
1333,beşiktaş'ta hava nasıl,,tr,,
1334,por favor pon los juegos de la canción por perturbado,,es,,
1335,heute habe ich belohnungen bekommen,,de,,
1336,alexa sê vir my wat is die grootste oseaan in die wêreld,,af,,
1337,quilometragem de carros b. m. w.,,pt,,
1338,wat is die datum volgende saterdag,,nl,,
1339,available meetings in march are what,,en,,
1340,bmv arabaların kilometresi,,tr,,
1341,togli la lista della spesa dalle mie liste,,it,,
1342,i play iyang podcast,,en,,
1343,istanbul f. m.,,tr,,
1344,siapa nama artis yang menciptakan lagu ini,,id,,
1345,påmind mig om de senaste nyheterna om ängelholm rörledning,,sv,,
1346,plane eine urlaubsreise für mich,,de,,
1347,huurmotor nou,,af,,
1348,skrap alles op die spyskaart,,nl,,
1349,çevreyle ilgili yeni herhangi bir haber var mı,,tr,,
1350,watter lied is daai,,af,,
1351,sage mir meine list,,de,,
1352,rood f.m klets autotune,,nl,,
1353,qu'est-ce que trump a fait maintenant,,fr,,
1354,spela eld och lågor med victor leksell tack,,sv,,
1355,s'il te plait joue la chanson la vie en rose par edith piaf,,fr,,
1356,skrap hierdie lys asseblief,,af,,
1357,dibuja petabits,,es,,
1358,hoe is het klimaat vandaag,,nl,,
1359,tweet ao atendimento ao consumidor que a quantidade está errada,,pt,,
1360,hoeveel platen heeft prince gemaakt,,nl,,
1361,tweet to amazon about late delivery of my t. v.,,en,,
1362,apagar tudo do menu,,pt,,
1363,taxi now,,en,,
1364,begin de radio te spelen,,nl,,
1365,het liedje wat nu speelt is uitgebracht door welke artiest,,nl,,
1366,ingatkan saya harus menyerahkan tugas matematika saya malam ini jam sebelas,,id,,
1367,wie is die beste kitaarspelers van alle tye,,af,,
1368,bewaar oerend hard liedje in mijn afspeellijst,,nl,,
1369,démarre la radio,,fr,,
1370,laat my weet wanneer daar nuus is oor die covid entstof,,af,,
1371,jag vill höra den där låten,,sv,,
1372,önümüzdeki hafta karsa gitmek için yataklı vagonu olan bir tren bileti ayırt,,tr,,
1373,wer war john dillinger,,de,,
1374,tolong mainkan episode berikutnya dari acara finfolk,,id,,
1375,reply to john stating that i will attend the party,,en,,
1376,dis moi qui a écrit cette chanson,,fr,,
1377,twittere an amazon bezüglich der späten leiferung meines fernsehers,,de,,
1378,tweeter le service consommateur que la quantité est fausse,,fr,,
1379,tanggalin lahat ang nasa menu,,tl,,
1380,silencieux,,fr,,
1381,john at gmail dot com zu kontakten,,de,,
1382,dimmi chi ha scritto questa canzone,,it,,
1383,maaari mo ba akong paalalahanan na pumunta sa klase sa hockey tuwing linggo ng hapon,,tl,,
1384,wie viele tasten hat ein piano,,de,,
1385,please play forward episode in quantico,,en,,
1386,staubsaugerroboter einschalten,,de,,
1387,beritahu apa judul lagu itu,,id,,
1388,comenzar una nueva lista de números de lotería,,es,,
1389,özel haber deki son haberleri göster,,tr,,
1390,que sont les réunions disponibles en mars,,fr,,
1391,cuanto es un dólar en euros,,es,,
1392,book a train ticket with a berth seat to lucknow for next week,,en,,
1393,y a-t-il quelque nouveau environnemental nouvelles,,fr,,
1394,per favore elimina questa lista,,it,,
1395,lütfen duman dan seni kendime sakladım şarkı sını çal,,tr,,
1396,stil,,tr,,
1397,i-play para sa akin ang pinakabagong mga kanta mula sa net,,tl,,
1398,che canzone è quella,,it,,
1399,please remove the grocery list from my set of lists,,en,,
1400,vertel me mijn lijst,,nl,,
1401,har restaurangen hemleverans,,sv,,
1402,n'oubliez pas que je dois rendre mon devoir de maths ce soir à onze heures,,fr,,
1403,program di radio b. b. c.,,id,,
1404,var tyst,,sv,,
1405,erstelle eine benachrichtigung vor diesem event,,de,,
1406,robot aspiradora encendido,,es,,
1407,gaano karaming mga susi ang nasa isang pyano,,tl,,
1408,tambahkan jaka at gmail dot com ke kontak,,id,,
1409,alexa bana dünyanın en büyük okyanusunu söyle,,tr,,
1410,save chhana mereya song in my playlist,,en,,
1411,dammi la lista di tutti gli eventi in arrivo il prossimo mese e imposta delle notifiche per tutti,,it,,
1412,welke dagen in maart zijn vrij voor vergaderingen,,nl,,
1413,me recordarás que vaya a la clase de hockey todos los domingos por la tarde,,es,,
1414,apa di jalanan macetnya panjang,,id,,
1415,maging mute,,tl,,
1416,quelle est l'heure de paris,,fr,,
1417,qual è la data di sabato prossimo,,it,,
1418,olly mostra-me como se prepara gelado,,pt,,
1419,ano ang petsa sa susunod na sabado,,tl,,
1420,alexa mangyaring sabihin sa akin ang pinakabagong video na nag-viral sa twitter para sa paksang narendra modi,,tl,,
1421,speel musiek in verband met die musiek wat ek vanoggend na geluister het,,af,,
1422,beantwoord pieter en sê dat ek die partytjie sal bywoon,,nl,,
1423,rita petabits,,nl,,
1424,ajoute jean arobas gmail point com aux contacts,,fr,,
1425,alexa berätta om den senaste virala videon på twitter ämne magdalena andersson,,sv,,
1426,mart ayında mevcut toplantılar nelerdir,,tr,,
1427,give me the list of all events coming up in the next month and set notifications for all of them,,en,,
1428,pon ese podcast por favor,,es,,
1429,kapan hari lahir albertus soegijapranata,,id,,
1430,qual è il miglior negozio in città per comprare l'occorrente per una festa,,it,,
1431,cuál es el nombre del artista que creó esta canción,,es,,
1432,hoeveel rekords het kurt gemaak,,nl,,
1433,hoe groot is die opbergbare knipsak en hoe lyk dit,,nl,,
1434,şikayetimi tweet at ve müşteri hizmetlerinden söz et,,tr,,
1435,silencio,,es,,
1436,borrar todo lo que hay en el menú,,es,,
1437,bir dolar kaç lira,,tr,,
1438,hoe is die weer in kaapstad,,nl,,
1439,visa påminnelser,,sv,,
1440,önümüzdeki cumartesi ayın kaçı,,tr,,
1441,quiero temas sobre cotilleo de famosos,,es,,
1442,what is my most played song,,en,,
1443,şimdi süpürmeye başla lütfen,,tr,,
