id,text,a0,a1,a2,a3
3693,ik hoorde dat bram net getrouwd is kun je me de trouwfoto's op hun instagram laten zien,,,,nl
3694,twitta un reclamo a esselunga,,,,it
3695,que día es hoy,,,,es
3696,bitte mache die lampe aus,,,,de
3697,apakah saya sudah menyetel alarm rumah saya,,,,id
3698,dollar rate zu philippinischem peso,,,,de
3699,kolla om min mamma skickat mig några mejl,,,,sv
3700,hande yener en sana kırmızı çok yakışıyor çal,,,,tr
3701,cancela os compromissos médicos esta semana,,,,pt
3702,wanneer arriveer die volgende trein by centurion stasie van hatfield stasie,,,,af
3703,ouvi dizer que o toni carreira acabou de casar por favor pode mostrar me as fotografias do casamento no instagram deles,,,,pt
3704,nyalakan penyedot debu,,,,id
3705,play for me michael jackson song from audiobook,,,,en
3706,laat me weten wat de dichtstbijzijnde supermarkt van mijn huis is,,,,nl
3707,acara acara apa yang sedang berlangsung hari ini di depok,,,,id
3708,cours entre ces devises,,,,fr
3709,demande moi des questions faciles à propos d'un sujet que je connais et dit moi quand je me trompe,,,,fr
3710,hervat de herdenkings liedjes,,,,nl
3711,ano ang oras sa pilipinas,,,,tl
3712,hoelaat is het in dubai,,,,nl
3713,speel jan smit beginnend met mijn schatje,,,,nl
3714,jersey'den son haberler,,,,tr
3715,fai il caffè,,,,it
3716,did i get an email from sarah,,,,en
3717,joue pour moi la musique de michael jackson du livre audio,,,,fr
3718,koers tussen deze valuta's,,,,nl
3719,amber stevens in kişilerimdeki adresi ne,,,,tr
3720,imposta sveglia per le otto di domani mattina,,,,it
3721,recibí un correo electrónico de sara,,,,es
3722,gelisteter preis für die unternehmensaktie,,,,de
3723,when is the next train arriving to union station from grand central station,,,,en
3724,biraz rock çal,,,,tr
3725,was ist das gewicht eines elefanten,,,,de
3726,rallegrami,,,,it
3727,berapa nomor telepon teman saya jaka,,,,id
3728,pihitin at patayin ang aking mga ilaw sa silid-tulugan,,,,tl
3729,coloca o artigo na lista,,,,pt
3730,maria ha risposto alla mia mail,,,,it
3731,spara denna låt,,,,sv
3732,svara johans mejl idag och säg att jag kommer vara sen,,,,sv
3733,bugün sakaryada hangi etkinlikler devam ediyor,,,,tr
3734,contesta el email de antonio,,,,es
3735,habe ich eine email von sarah erhalten,,,,de
3736,maak dit 'n beitjie harder,,,,af
3737,preciso de ter mais foco olly eu não me conseguiria concentrar em uma só tarefa,,,,pt
3738,is almal wat op my facebook lys is besig om die game te kyk,,,,af
3739,please set event on monday,,,,en
3740,daha iyi odaklanmam lazım olly tek bir göreve konsantre olamıyorum,,,,tr
3741,aggiungi un evento al mio programma,,,,it
3742,tanggalin ang nakatakdang miting sa ika apat ng oktubre alas dose n. h.,,,,tl
3743,bu saatte hatırlat,,,,tr
3744,nilai rupiah dari ringgit,,,,id
3745,när är nästa djurgårdsmatch,,,,sv
3746,debatte über schulen in der u. k.,,,,de
3747,stel 'n herinnering vir die vyfde maart oor my dokter se afspraak tien v. m.,,,,af
3748,soek in e-pos nuwe boodskappe vanaf,,,,af
3749,onu gönder,,,,tr
3750,het ek enige e-posse vanaf karin kortje,,,,af
