id,text,a0,a1,a2,a3
2480,põe para mim a música da madonna no audiolivro,,,pt,
2481,pon el álbum de rafael que he escuchado menos,,,es,
2482,j'ai entendu dire qu'ale venait de se marier pouvez-vous s'il vous plaît me montrer les photos du mariage sur leur instagram,,,fr,
2483,poste cette photo sur twitter,,,fr,
2484,welke winkels kan ik vinden in milaan,,,nl,
2485,quali sono tutti gli eventi in zona,,,it,
2486,maghanap ng mga lokal na tindahan,,,tl,
2487,bana online bir şey sipariş et,,,tr,
2488,bitte lösche diese liste,,,de,
2489,yarın sabah sekizde gitmem gerek ondan yarım saat önce bir alarm kur,,,tr,
2490,is dié geleentheid se datum korrek,,,af,
2491,que tenho planeado para sexta-feira,,,pt,
2492,gösteri saatleri ne,,,tr,
2493,toon volume instellingen,,,nl,
2494,com'è il tempo in umbria,,,it,
2495,qué significa esta palabra,,,es,
2496,ist heute geburtstag oder jahrestag,,,de,
2497,apa berita terbaru di r. c. t. i.,,,id,
2498,ich hätte jetzt gern lichter in der farbe orange,,,de,
2499,ge mig nyheterna på min leverantör,,,sv,
2500,mehmet ali alabora nereli,,,tr,
2501,qual a taxa de câmbio do dólar para o iene,,,pt,
2502,sien kliënt e-pos,,,af,
2503,mostra as definições de volume,,,pt,
2504,saya perlu rantai email untuk ibu saya saya merencanakan perjalanan untuk melihat dia bertanya bagaimana cuaca akan jadi saya tahu bagaimana berkemas,,,id,
2505,what are the show timings,,,en,
2506,wanneer is mijn tandartsafspraak,,,nl,
2507,bersiap untuk mengirim pesan balasan,,,id,
2508,s'il vous plaît appelle un taxi pour arriver à quatre cents et conduisez-moi au théâtre du manor,,,fr,
2509,je veux que tu mettes ne me quitte pas de jacques brel,,,fr,
2510,wie is de president van amerika,,,nl,
2511,itakda ang hudyat para sa alas nuwebe ng umaga,,,tl,
2512,zet een alarm voor negen uur in de ochtend,,,nl,
2513,waar komt victor reinier vandaan,,,nl,
2514,sen ağlama dinlemek istiyorum,,,tr,
2515,attività terroristiche,,,it,
2516,which shops can i find in milan,,,en,
2517,quels sont les horaires spectacle,,,fr,
2518,bel een taxi voor vier uur om mij naar carré te brengen,,,nl,
2519,domuz eti hangi sıcaklıkta pişer,,,tr,
2520,cancella tutte le riunioni oggi dopo le sette,,,it,
2521,qué tiendas puedo encontrar por madrid,,,es,
2522,nenn mir die uhrzeit in köln,,,de,
2523,check email client,,,en,
2524,yatak odası lambasını söndür,,,tr,
2525,in fünfzehn minuten ans treffen erinnern,,,de,
2526,ho sentito che alessandro si è appena sposato puoi mostrarmi le foto del matrimonio sul suo instagram,,,it,
