id,text,a0,a1,a2,a3
3600,que dia é hoje,,,pt,
3601,elektrik süpürgesini etkinleştir,,,tr,
3602,encontra algum rock,,,pt,
3603,taxa do dólar para o peso filipino,,,pt,
3604,finde etwas rock,,,de,
3605,add my mom to calendar for monday brunch,,,en,
3606,nyalakan alarm pukul delapan pagi,,,id,
3607,quando é o próximo jogo do benfica,,,pt,
3608,jogue poker comigo,,,pt,
3609,ek het gehoor anna is pas getroud kan jy asseblief vir my die trou foto's op hul instagram wys,,,af,
3610,hur många saker har jag planerade ikväll,,,sv,
3611,lembrar me que tenho uma reunião amanhã às três da tarde,,,pt,
3612,how long does it take the train to get from here and the met,,,en,
3613,kan du radera alla mina tidsbokningar i kalendern,,,sv,
3614,spiele poker mit mir,,,de,
3615,bugün adana şehir tiyatrosunda veba saat kaçta,,,tr,
3616,será que eu pus o alarme de casa,,,pt,
3617,poner una notificación el cinco de marzo que tengo una cita con el médico a las diez de la mañana,,,es,
3618,ich möchte eine antwort senden,,,de,
3619,por favor fija evento el lunes,,,es,
3620,kollar alla på min facebooklista på matchen,,,sv,
3621,check if any alarm is there after five am,,,en,
3622,welcher tag ist heute,,,de,
3623,hervat die braaidag liedjies,,,af,
3624,stoor hierdie liedjie,,,af,
3625,nagpapasaya sa akin,,,tl,
3626,op welke dag valt pasen dit jaar,,,nl,
3627,jam berapa pertunjukan srimulat di panggung senayan hari ini,,,id,
3628,säg mig närmaste matbutik från mitt hem tack,,,sv,
3629,hey siri have you heard any funny jokes lately,,,en,
3630,kirim itu,,,id,
3631,do you want to play monopoly with me,,,en,
3632,poderia deletar todos meus compromissos do calendário,,,pt,
3633,moet ik een jas dragen,,,nl,
3634,el correo de cristina es sobre trabajo,,,es,
3635,gelecek pazar için herhangi bir hatırlatıcım var mı,,,tr,
3636,spela lady gaga och börja med poker face,,,sv,
3637,guarda esta música nos meus favoritos,,,pt,
3638,che giorno è oggi,,,it,
3639,bir sonraki alarmım hangisi,,,tr,
3640,ano ang susunod kong alarm,,,tl,
3641,wil jij monopoly met mijn spelen,,,tr,
3642,patayin ang wemo plug socket,,,tl,
3643,senaste nyheterna från västra frölunda,,,sv,
3644,vind 'n debat oor skole in suid-afrika,,,af,
3645,saya butuh fokus yang lebih baik olly saya tidak dapat berkonsentrasi pada satu hal,,,id,
3646,kahramanlık marşları na devam et,,,tr,
3647,apa gunung tertinggi di dunia,,,id,
3648,algum email marcado como importante,,,pt,
3649,önemli olarak işaretlenmiş herhangi bir posta,,,tr,
3650,stäng av lamporna i mitt sovrum,,,sv,
