id,text,a0,a1,a2,a3
0,liga o rádio na rfm,,,,
1,takvimimde annemle olan akşam yemeğini bul ve onu sil,,,,
2,eu tenho alguma hora livre para uma consulta médica na quinta feira de manhã,,,,
3,não quero receber mais chamadas depois das cinco da tarde,,,,
4,habe ich zeit für einen arzttermin am dienstag früh zur verfügung,,,,
5,turn on plug,,,,
6,nilai saham facebook,,,,
7,toque o próximo programa de rádio da r. t. p.,,,,
8,quero adicionar o meu endereço de email,,,,
9,asseblief verwyder die alarm wat ek gestel het vir vanoggend,,,,
10,påminn mig om att träffa sara på lidl i borås klockan tolv,,,,
11,definir o fuso horário para g. m. t.,,,,
12,remove twenty fourth march meeting from schedule,,,,
13,högre tack,,,,
14,ich möchte und meine email adresse,,,,
15,asyanın kilometre başına nüfusu kaçtır,,,,
16,qual é o valor das ações da i. b. m.,,,,
17,había algún correo electrónico en relación a la reserva equivocada en sia,,,,
18,wie aktiviert man den saugroboter,,,,
19,cuál es el tipo de cambio actual entre el dólar y el euro,,,,
20,har universitetet i lund mejlat mig,,,,
21,what is my list,,,,
22,schalte das radio auf achtundneunzig punkt sieben ein,,,,
23,dink jy vandag gaan lekker wees buite,,,,
24,die datum vandag asseblief,,,,
25,suriin ang aking gagawin na listahan,,,,
26,plan een vergadering op dinsdag,,,,
27,berapa populasi per mil di asia,,,,
28,vilken färg har en basketboll,,,,
29,did i receive emails from this person,,,,
30,tolong ingatkan aku untuk jam sebelum rapat kerja saya berikutnya,,,,
31,i want to hear music by a band from my playlist,,,,
32,mais alto por favor,,,,
33,vertel me wie de artiest van dit nummer is,,,,
34,envié un correo electrónico a claudio la semana pasada por favor acuérdame que es lo que escribí,,,,
35,olly brad pitt hakkındaki herhangi bir yeni haber,,,,
36,regnar det just nu,,,,
37,libertar a minha agenda para a próxima semana,,,,
38,sintonizza la radio su novantotto punto sette,,,,
39,uyumak istiyorum,,,,
40,gusto kong matulog,,,,
41,ik wil muziek horen van een band van mijn afspeellijst,,,,
42,anong mga pangyayari ang nangyayari sa pagitan ng dalawa at apat n. h. ngayon,,,,
43,skruva ner ljuset i vardagsrummet,,,,
44,hoe gaan die weer hierdie week wees,,,,
45,mainkan lagu coklat karma untuk saya,,,,
46,bugün dışarıda hava güzel olacak mı sence,,,,
47,apa album rap yang bagus yang keluar tahun ini,,,,
48,o que é a taxa de câmbio do dólar americano para o dólar canadiano,,,,
49,tl karşısında abd doları nın döviz takas oranı nedir,,,,
50,vidarebefordra det visade innehållet till jens jansson snabel a. gmail punkt kom med mejl,,,,
51,vind het diner met mama in mijn kalender en verwijder het,,,,
52,olly enig nieuws over brad pitt,,,,
53,siri trova biglietti del treno per roma,,,,
54,está a chover agora,,,,
55,ordinami un cheese burger da america graffiti,,,,
56,erinnere mich eine stunde vor meinem nächsten arbeitstreffen,,,,
57,dependiendo del rol al que vayas esto afectará tu respuesta,,,,
58,olly any fresh news on brad pitt,,,,
59,ihre scenarios auf ihrem p. c. und transferiere diese zurück über den heißen,,,,
60,vertel me een willekeurige trivia,,,,
61,wie macht man steak,,,,
62,vad är ungersk forint värd jämfört med en amerikansk dollar,,,,
63,de quelle couleur est un ballon de basket,,,,
64,ini terlalu kencang tolong turunkan volume,,,,
65,provide me with the list of great restaurants in a,,,,
66,använd det här ordet i en mening,,,,
67,can you tell me what alarms i have set,,,,
68,i want to sleep,,,,
69,ek wil musiek hoor van 'n orkes van my speel lys,,,,
70,adakah pusat perbelanjaan di dekat sini,,,,
71,was ist der derzeitige wechselkurs zwischen dollar und euro,,,,
72,please remove the alarm which i set for today morning,,,,
73,supprimer la liste de personne à partir du support lettre dans ma liste de contact,,,,
74,vad är telias aktievärde,,,,
75,voglio dormire,,,,
76,come sarà il tempo questa settimana,,,,
77,dimana alamat rumah joko,,,,
78,mainit na pagbati kay mac para sa bagong trabaho,,,,
79,sätt en arbetsplatsmöte påminnelse för de nästkommande tre dagarna,,,,
80,como cozinho bife,,,,
81,recibí correos electrónicos de esta persona,,,,
82,vérifie ma liste de choses à faire,,,,
83,réduis le son s'il te plaît,,,,
84,speel de podcast over de nieuwste yoga videos,,,,
85,per favore invia un tweet al famila per non avere un bagno pulito,,,,
86,ano ang pinakabago sa pagbabawal sa paglalakbay ni duterte,,,,
87,gösterilen içeriği e-posta ile blahblah at blah nokta com adresine iletin,,,,
88,spiel ein turnier mit mir im candy crush,,,,
89,en son epostalarımı görmeme izin ver,,,,
90,verwyder die lys van persoon begin vanaf letter medium in my kontak lys,,,,
91,o leão da estrela,,,,
92,yeni işi için emreye iyi şanslar,,,,
93,alsjeblief verwijderd de wekker dat ik vandaag in de ochtend heb ingesteld,,,,
94,i tuoi scenari sul computer e trasferiscili tramite il caldo,,,,
95,pon el noventa y ocho punto siete en la radio,,,,
96,wann ist mein zahnarzttermin am montag,,,,
97,berapa harga saham axioo,,,,
98,ich möchte nach fünf uhr nachmittags keine anrufe mehr entgegennehmen,,,,
99,starta dammsugaren noll nio noll noll,,,,
100,şu anda yağmur yağıyor mu,,,,
101,há centros comerciais aqui perto,,,,
102,wat is n kalone werd in vergelyking met n v. s. dollar,,,,
103,apagar o alarme que eu defini para hoje de manhã,,,,
104,temukan makan malam dengan ibu di kalender saya dan hapus itu,,,,
105,warm wishes to mac for new job,,,,
106,welke kleur is een basketbal,,,,
107,siri carikan tiket kereta tujuan jakarta,,,,
108,je dois planifie une réunion avec allison lundi à dix heures du matin,,,,
109,alexa éteindre la lampe dans le salon,,,,
110,denk je dat het vandaag leuk zal zijn,,,,
111,pwede ka bang magsalita ng medyo mahina,,,,
112,zou je wat zachter kunnen praten,,,,
113,regent het nu,,,,
114,oturma odasındaki ışıkları kıs,,,,
115,quanto farà freddo martedì prossimo,,,,
116,play a podcast about latest yoga videos,,,,
117,souhaite chaleureusement à mac pour un nouveau emploi,,,,
118,ik moet maandag om tien uur in de ochtend een afspraak met anna plannen,,,,
119,can canın ev adresi nedir,,,,
120,puoi dirmi quali sveglie ho attive,,,,
121,reproducir un podcast sobre los últimos vídeos de yoga,,,,
122,verschiebe meinen wecker um fünfzehn minuten,,,,
123,what is a calone worth compared to a u. s. dollar,,,,
124,salı sabahına doktor randevusu için müsait zamanım var mı,,,,
125,füge zu meinen lebensmitteln hinzu,,,,
126,controlla la mia lista delle cose da fare,,,,
127,apakah akan ada salju di hari selasa,,,,
128,ipasa ang ipinakitang nilalaman sa blahblah at blah dot com gamit ang email,,,,
129,tuitar apple que o iphone não funciona,,,,
130,prenotami un taxi questa sera,,,,
131,datumet idag tack,,,,
132,när är nästa blueskonsert i alingsås,,,,
133,siri eskişehir 'e tren biletleri bul,,,,
134,cambia tus colores en algo diferente,,,,
135,spiel einen podcast über die neuesten yoga videos,,,,
136,hoe kook jy 'n biefstuk,,,,
137,toca mafalda veiga,,,,
138,het die universiteit van stellenbosch my al 'n e-pos gestuur,,,,
139,what is the current exchange rate between the dollar and the euro,,,,
140,benim için mey 'den model 'i çal,,,,
141,qualche nuova email da giacomo,,,,
142,sabihin sa akin ang isang random na trivia,,,,
143,kayınvalideme rezervasyonları cumadan önce ayırması için mesaj at yoksa süresi dolacak,,,,
144,aku gak mau terima telepon lagi setelah jam lima sore,,,,
145,kan du sätta på nästa på n. r. j.,,,,
146,wie soll diese woche das wetter werden,,,,
147,was daar enige e-pos oor die verkeerde bespreking in sia,,,,
148,lees die e-pos gestuur deur hierdie kontak,,,,
149,bir sonraki iş toplantımdan bir saat önce bana hatırlat,,,,
150,op,,,,
151,lösche alle termine für nächste woche,,,,
152,stuur een bericht naar mijn schoonmoeder dat ze de reserveringen voor vrijdag moet boeken anders verlopen ze,,,,
153,quelle liste ai- je,,,,
154,sällskapsresan,,,,
155,changer vos couleurs pour quelque chose de différent,,,,
156,wat is bevolking per myl in alaska,,,,
157,que eventos hay entre las dos y cuatro de la tarde hoy,,,,
158,hervat alsjeblieft het huidege liedje van masti,,,,
159,dá me a lista de restaurantes muitos bons numa,,,,
160,zal het bewolkt zijn in londen gedurende het weekend,,,,
161,is it still going to be rainy and cold on wednesday,,,,
162,quero ler o email enviado por este contacto,,,,
163,was there any email regarding the wrong booking in sia,,,,
164,wat is het aandeel i. b. m. waard,,,,
165,doe een toernooi met me in candy crush,,,,
166,teruskan konten terlihat ke blahblah at blah dot com dengan email,,,,
167,vertel vir my wanneer daar nuwe nuus oor jacob zuma is,,,,
168,herinner mij om sarah te ontmoeten bij safeway in mckinleyville california rond de middag,,,,
169,quelle est la valeur des actions d'i. b. m.,,,,
170,kan jy volgende lm radio aansit,,,,
171,kommer det att snöa på tisdag,,,,
172,çok gürültülü sesi azalt,,,,
173,entferne das treffen vom vierundzwanzigsten märz aus meinem plan,,,,
174,kapan konser blues yang selanjutnya di bandung,,,,
175,alexa turn off the lamp in the living room,,,,
176,définir un rappel de réunion de bureau pour les trois prochains jours,,,,
177,wird es am mittwoch noch immer regnerisch und kalt sein,,,,
178,fournissez-moi la liste des bons restaurants dans un,,,,
179,basahin ang email na ipinadala ng kontak na ito,,,,
180,sera-t-il bon d'acheter des actions nike aujourd'hui,,,,
181,das datum heute bitte,,,,
182,imposta un promemoria per una riunione d'ufficio per i prossimi tre giorni,,,,
183,mag-tweet sa apple na hindi gumagana ang iphone,,,,
184,plane ein treffen für dienstag,,,,
185,when is the next blues concert in liverpool,,,,
186,den künstler des lieds bitte,,,,
187,gunakan kata ini dalam satu kalimat,,,,
188,eliminar la lista de personas que empiezan por la letra media en mi lista de contactos,,,,
189,zamanı greenwich yerel saati ne ayarla,,,,
190,quel est le taux de change actuel entre le dollar et l'euro,,,,
191,por favor borrar la alarma que tenía activada yo para hoy por la mañana,,,,
192,it is too loud decrease the volume,,,,
193,rappel moi une heure avant ma prochaine réunion de travail,,,,
194,quanti abitanti per miglio ci sono in asia,,,,
195,renklerini farklı bir şeye çevir,,,,
196,zou het goed zijn om nike aandelen te kopen vandaag,,,,
197,patayin ang mga ilaw sa sala,,,,
198,alza,,,,
199,any new mail from jack,,,,
200,maak mijn agenda vrij voor volgende week,,,,
201,sänk ljudet tack,,,,
202,transmet le contenu affiché à blahblah arobase blah point com avec e-mail,,,,
203,saya perlu tambahkan pertemuan dengan allison pada senin jam sepuluh pagi,,,,
204,öka styrkan på ljuset,,,,
205,habe ich emails von dieser person erhalten,,,,
206,dime quién es el artista de esta canción,,,,
207,iskedyul ng pagpupulong sa martes,,,,
208,tanggal hari ini,,,,
209,nasıl biftek pişiririm,,,,
210,remind me to meet sarah at safeway in mckinleyville california at noon,,,,
211,cosa significa barzelletta,,,,
212,wat is de huidige wisselkoers tussen de dollar en de euro,,,,
213,tuitea a apple diciendo que el iphone no funciona,,,,
214,daftar apa yang saya punya,,,,
215,pataasin ang lakas ang ilaw,,,,
216,comment activer l' aspirateur robot,,,,
217,l' università di bologna mi ha inviato una email,,,,
218,quais são as últimas sobre as restrições de viagens do trump,,,,
219,ang unibersidad ng greenwich ba ay nag email sa akin,,,,
220,oras ng orasan,,,,
221,hoe dink jy lyk ek,,,,
222,alexa skakel die lamp in die sitkamer af,,,,
223,vilka event sker mellan två och fyra idag,,,,
224,la date d' aujourd'hui s'il vous plait,,,,
225,klocka tid,,,,
226,dolar ve avro arasındaki güncel döviz kuru nedir,,,,
227,what does joke mean,,,,
228,dime un trivia al azar,,,,
229,hapus acara,,,,
230,trova la cena con la mamma sul mio calendario e cancellala,,,,
231,no quiero recibir más llamadas después de las cinco de la tarde,,,,
232,gaan dit bewolk wees in bloemfontein gedurende die naweek,,,,
233,skakel aan prop,,,,
234,bilgisayarındaki senaryoları hotspot ile geri aktar,,,,
235,será bueno comprar acciones de nike hoy dia,,,,
236,lee el correo enviado por este contacto,,,,
237,lütfen bugün sabah için kurduğum alarmı kaldır,,,,
238,siri vind trein kaartjies na durban,,,,
239,aktiekurs för facebook,,,,
240,greenwich üniversitesi bana e-posta gönderdi mi,,,,
241,quiero dormir,,,,
242,add to my groceries,,,,
243,radyoyu doksan sekiz nokta yediye çevir,,,,
244,stel de tijdzone in op g. m. t.,,,,
245,jam berapa sekarang,,,,
246,bigyan mo ako ng listahan ng magagandang mga restawran sa,,,,
247,fammi avere una lista di ottimi ristoranti,,,,
248,wat is het laatste nieuws over trump's reisverbod,,,,
249,qual è il valore delle azioni generali,,,,
250,lies mir die email vor die dieser kontakt geschrieben hat,,,,
251,bisakah kamu beri tahu saya alarm apa yang sudah saya atur,,,,
252,what time is it right now,,,,
253,giorno di allenamento,,,,
254,hoe laat is het nu,,,,
255,heeft de universiteit van amsterdam mij gemaild,,,,
256,bestel vir my 'n kaas burger van big als,,,,
257,ai-je du temps pour un rendez-vous chez le médecin mardi matin,,,,
258,verwijderd de lijst van persoon die starten met medium letter in mijn contactenlijst,,,,
259,bisakah kamu berbicara sedikit lebih lembut,,,,
260,erinnere mich an das treffen mit sarah am steinweg in regensburg bayern am mittag,,,,
261,puoi mettere su radio kiss kiss,,,,
262,como crees que me veo,,,,
263,prüfe meine zu erledigen liste,,,,
264,biraz daha yumuşak konuşur musun,,,,
265,de que cor é uma bola de basquetebol,,,,
266,necesito programar una reunión con allison el lunes a las diez de la mañana,,,,
267,laat ek my mees onlangse e-posse sien,,,,
268,is there going to be any snow on tuesday,,,,
269,några nya mejl från daniel,,,,
270,wird es in berlin während des wochenendes bewölkt sein,,,,
271,sätt på uttaget,,,,
272,elektrik süpürgesini sabah dokuzda çalıştır,,,,
273,spiel kari jobe für mich,,,,
274,kun je alle evenementen uit mijn agenda verwijderen alsjeblieft,,,,
275,perlihatkan email terbaru saya,,,,
276,palitan ang mga kulay anuman,,,,
277,bana bu şarkının sanatçısını söyle,,,,
278,can you put on the next i heart music radio show,,,,
279,hafta sonu boyunca istanbul da hava bulutlu mu olacak,,,,
280,bana tırı vırı anlat,,,,
281,bagaimana cuaca minggu ini,,,,
282,benim çalma listemden bir gruptan müzik duymak istiyorum,,,,
283,stock rate of facebook,,,,
284,what lists do i have,,,,
285,skeduleer 'n vergadering vir dinsdag,,,,
286,será chuvoso em porto durante a semana,,,,
287,har jag någon ledig tid för läkarbesök på tisdag morgon,,,,
