id,label,label_text,text,lang
1847,takeaway,takeaway,pesankan saya burger keju dari flip burger,id
876,play,play,mainkan lagu coklat karma untuk saya,id
14494,qa,qa,berapa harga saham axioo,id
14366,qa,qa,apakah ini hari yang tepat untuk membeli saham nike hari ini,id
1977,alarm,alarm,tolong hapus alarm yang saya atur pagi hari ini,id
16347,email,email,kirim pesan ibu tiri saya untuk memesan reservasi sebelum hari jumat atau tidak akan berlaku lagi,id
3125,news,news,apa yang terbaru tentang djoko tjandra mendapat pencekalan keluar negeri,id
16860,email,email,saya mengirim email ke rudi seminggu yang lalu ingatkan saya apa yang saya tulis,id
4740,iot,iot,kurangi pencahayaan ruang keluarga,id
7510,calendar,calendar,hapus acara,id
13570,qa,qa,apa artinya lelucon,id
10556,lists,lists,apa daftar saya,id
3597,iot,iot,aku mau tidur,id
16604,email,email,kirimkan email ke anak perempuan,id
15770,email,email,apa universitas brawijaya udah kirim email ke aku,id
7212,calendar,calendar,tolong ingatkan aku untuk jam sebelum rapat kerja saya berikutnya,id
3858,weather,weather,apakah akan ada salju di hari selasa,id
11297,play,play,putar podcast tentang video yoga terbaru,id
520,datetime,datetime,jam berapa sekarang,id
13006,general,general,menurutmu penampilanku kayak apa,id
13170,qa,qa,berapa populasi per mil di asia,id
13314,qa,qa,tergantung pada peran yang akan kamu mainkan ini akan memengaruhi jawabanmu,id
2944,iot,iot,alexa matikan lampu di ruang keluarga,id
16910,email,email,aku mau menambahkan alamat email aku,id
10727,lists,lists,daftar apa yang saya punya,id
12820,transport,transport,tampilkan lalu lintas,id
6309,general,general,aku gak mau terima telepon lagi setelah jam lima sore,id
11836,recommendation,recommendation,adakah pusat perbelanjaan di dekat sini,id
5885,iot,iot,tingkatkan intensitas pencahayaan,id
8008,calendar,calendar,jam berapakah janji bertemu dengan dokter gigi ku pada hari senin nanti,id
10504,lists,lists,daftar apa yang saya punya,id
9021,calendar,calendar,atur pengingat rapat kantor untuk tiga hari kedepan,id
6149,play,play,saya ingin mendengar musik oleh band dari playlist saya,id
7764,calendar,calendar,hapus semua kalender acara saya,id
5547,general,general,salam hangat pada mac untuk pekerjaan baru,id
6374,music,music,apa album rap yang bagus yang keluar tahun ini,id
1067,iot,iot,bagaimana cara aktifkan robot penyedot debu,id
6318,general,general,apakah anda pikir hari ini cuacanya akan baik,id
4468,alarm,alarm,tunda alarm saya selama lima belas menit,id
