id,text,a0,a1,a2,a3
1200,começa a aspirar agora por favor,,,,
1201,şehirde parti malzemeleri alınabilecek en iyi yer neresi,,,,
1202,que horas são no relógio,,,,
1203,qual é o nome do artista que criou esta música,,,,
1204,wie spät ist es,,,,
1205,how big is the stashable cinch bag and what does it look like,,,,
1206,tampilkan pengingat pengingat,,,,
1207,avisa me quando houver alguma nova notícia sobre o brexit,,,,
1208,adiciona passagem de ano ao calendário,,,,
1209,hoeveel is een dollar in euros,,,,
1210,spela sång vill ha dig i min spellista,,,,
1211,mostre-me notícias recentes sobre assunto particular,,,,
1212,who was john dillinger,,,,
1213,hur går det för compaq aktien,,,,
1214,füge neujahres abend zum kalender hinzu,,,,
1215,lütfen bu listeyi sil,,,,
1216,iniciar rádio,,,,
1217,taxi ahora,,,,
1218,wie ist die zeit in münchen,,,,
1219,las reuniones disponibles en marzo son las que,,,,
1220,vad är det för datum nästa lördag,,,,
1221,log a complaint to l. g. a. c. to customer service,,,,
1222,beginne jetzt bitte das staubsaugen,,,,
1223,speel asseblief vir my 'n liedjie van my gunsteling lys,,,,
1224,voeg john at gmail dot com by kontakte,,,,
1225,ano ang aking iskedyul bukas ng umaga,,,,
1226,hoeveel toetsen heeft een piano,,,,
1227,tolong hapus ini dari daftar,,,,
1228,hur är det nuvarande vädret i stockholm stad,,,,
1229,before this event set notification,,,,
1230,apakah ada apapun berita baru tentang lingkungan,,,,
1231,what are the latest updates with regard to trump's ties to russia,,,,
1232,como estão as ações da compaq,,,,
1233,robot stofzuiger aan,,,,
1234,quien es barack obama,,,,
1235,hangi listeleri kaydettim,,,,
1236,olly rekommendera ett evenemang som händer i mitt område,,,,
1237,fala-me sobre as minhas listas,,,,
1238,inizia a passare l'aspirapolvere per favore,,,,
1239,ünlülerin dedikoduları hakkında konu istiyorum,,,,
1240,gusto ko ng mga paksa sa tsismis sa artista,,,,
1241,wat zijn de laatste updates met betrekking tot trump's banden met rusland,,,,
1242,gumuhit ng mga petabit,,,,
1243,spela senaste låtarna av carola,,,,
1244,beplan vir my 'n vakansie reis,,,,
1245,jarak tempuh mobil b. m. w.,,,,
1246,benim favori listemden bir parça çal lütfen,,,,
1247,apakah kondisi cuaca untuk rabu berubah,,,,
1248,o trânsito para o trabalho está desimpedido,,,,
1249,iş yerine trafik açık mı,,,,
1250,kom ihåg att jag måste lämna in min matteuppgift ikväll senast elva,,,,
1251,wat is de beste plaats in de stad om feestbenodigdheden te kopen,,,,
1252,welke lijsten heb ik opgeslagen,,,,
1253,che tempo fa a firenze,,,,
1254,olly recomenda-me um evento que esteja para acontecer na minha zona,,,,
1255,trova informazioni sul presidente sergio mattarella,,,,
1256,gibt es irgendwelche nachrichten zur umwelt,,,,
1257,recuérdame cuando alcance,,,,
1258,what lists do i have saved,,,,
1259,twittere meine beschwerde an den kundenservice,,,,
1260,speel die podcast alsjeblieft,,,,
1261,alexa sag mir welcher der größte ozean der welt ist,,,,
1262,kom ihåg att ringa barnvakten för dejtkväll på fredag,,,,
1263,quel est la météo actuelle à paris,,,,
1264,pesankan saya tiket kereta dengan kursi menghadap ke depan tujuan malang untuk pekan depan,,,,
1265,tweet consumer service that the quantity is wrong,,,,
1266,berätta namnet på den där låten för mig,,,,
1267,did you receive this person email,,,,
1268,i want topics on celebrity gossip,,,,
1269,wat is die nuutste opdatering oor malema se bande met zimbabwe,,,,
1270,hapus daftar ini,,,,
1271,tagungen im märz,,,,
1272,how much is one dollar in euros,,,,
1273,commencer une nouvelle liste de numéros de loterie,,,,
1274,börja spela radio,,,,
1275,voglio gossip sulle celebrità,,,,
1276,pianificami una vacanza,,,,
1277,tampilkan surat elektronik terbaru dari elang,,,,
1278,ano ang email address ni silvia,,,,
1279,berätta vem som skrev den här låten,,,,
1280,alexa diz me qual é o maior oceano do mundo,,,,
1281,antes de este evento programa una notificación,,,,
1282,quel est mon programme pour demain matin,,,,
1283,est-ce que le restaurant propose la livraison à domicile,,,,
1284,vandaag heb ik beloningen gekregen,,,,
1285,quali negozi sono vicino a me,,,,
1286,olly ipakita sakin ang paraan ng paghahanda ng sorbetes,,,,
1287,bu gece saat on bir itibariyle matematik ödevimi teslim etmem gerektiğini hatırlat,,,,
1288,die lied spielen wird nun freigegeben von welcher künstler,,,,
1289,artık yıl iki bin on sekiz yılı mıdır,,,,
1290,begin nuwe lys van lotery nommers,,,,
