id,text,a0,a1,a2,a3
1200,começa a aspirar agora por favor,pt,,,
1201,şehirde parti malzemeleri alınabilecek en iyi yer neresi,tr,,,
1202,que horas são no relógio,pt,,,
1203,qual é o nome do artista que criou esta música,pt,,,
1204,wie spät ist es,de,,,
1205,how big is the stashable cinch bag and what does it look like,en,,,
1206,tampilkan pengingat pengingat,id,,,
1207,avisa me quando houver alguma nova notícia sobre o brexit,pt,,,
1208,adiciona passagem de ano ao calendário,pt,,,
1209,hoeveel is een dollar in euros,nl,,,
1210,spela sång vill ha dig i min spellista,sv,,,
1211,mostre-me notícias recentes sobre assunto particular,pt,,,
1212,who was john dillinger,en,,,
1213,hur går det för compaq aktien,sv,,,
1214,füge neujahres abend zum kalender hinzu,de,,,
1215,lütfen bu listeyi sil,tr,,,
1216,iniciar rádio,pt,,,
1217,taxi ahora,es,,,
1218,wie ist die zeit in münchen,de,,,
1219,las reuniones disponibles en marzo son las que,es,,,
1220,vad är det för datum nästa lördag,es,,,
1221,log a complaint to l. g. a. c. to customer service,en,,,
1222,beginne jetzt bitte das staubsaugen,de,,,
1223,speel asseblief vir my 'n liedjie van my gunsteling lys,af,,,
1224,voeg john at gmail dot com by kontakte,en,,,
1225,ano ang aking iskedyul bukas ng umaga,tl,,,
1226,hoeveel toetsen heeft een piano,nl,,,
1227,tolong hapus ini dari daftar,id,,,
1228,hur är det nuvarande vädret i stockholm stad,sv,,,
1229,before this event set notification,en,,,
1230,apakah ada apapun berita baru tentang lingkungan,id,,,
1231,what are the latest updates with regard to trump's ties to russia,en,,,
1232,como estão as ações da compaq,pt,,,
1233,robot stofzuiger aan,nl,,,
1234,quien es barack obama,es,,,
1235,hangi listeleri kaydettim,tr,,,
1236,olly rekommendera ett evenemang som händer i mitt område,sv,,,
1237,fala-me sobre as minhas listas,pt,,,
1238,inizia a passare l'aspirapolvere per favore,it,,,
1239,ünlülerin dedikoduları hakkında konu istiyorum,tr,,,
1240,gusto ko ng mga paksa sa tsismis sa artista,tl,,,
1241,wat zijn de laatste updates met betrekking tot trump's banden met rusland,nl,,,
1242,gumuhit ng mga petabit,tl,,,
1243,spela senaste låtarna av carola,sv,,,
1244,beplan vir my 'n vakansie reis,af,,,
1245,jarak tempuh mobil b. m. w.,id,,,
1246,benim favori listemden bir parça çal lütfen,tr,,,
1247,apakah kondisi cuaca untuk rabu berubah,id,,,
1248,o trânsito para o trabalho está desimpedido,pt,,,
1249,iş yerine trafik açık mı,tr,,,
